price_id,security_id,price_date,open_price,high_price,low_price,close_price,volume,currency,source,created_at
PRC001,SEC001,2024-01-15,174.20,176.80,173.90,175.50,125000000,USD,Bloomberg,2024-01-15 16:00:00
PRC002,SEC002,2024-01-15,378.50,382.30,377.80,380.25,42000000,USD,Bloomberg,2024-01-15 16:00:00
PRC003,SEC003,2024-01-16,141.50,143.90,141.20,142.80,35000000,USD,Bloomberg,2024-01-16 16:00:00
PRC004,SEC001,2024-02-12,180.50,183.20,179.80,182.30,118000000,USD,Bloomberg,2024-02-12 16:00:00
PRC005,SEC002,2024-03-05,392.10,396.50,391.20,395.40,38000000,USD,Bloomberg,2024-03-05 16:00:00
PRC006,SEC003,2024-02-14,147.20,149.30,146.80,148.50,32000000,USD,Bloomberg,2024-02-14 16:00:00
PRC007,SEC004,2024-01-18,154.30,156.20,153.80,155.20,78000000,USD,Bloomberg,2024-01-18 16:00:00
PRC008,SEC005,2024-01-20,235.80,240.50,234.20,238.45,95000000,USD,Bloomberg,2024-01-20 16:00:00
PRC009,SEC005,2024-02-19,243.50,247.80,242.10,245.80,102000000,USD,Bloomberg,2024-02-19 16:00:00
PRC010,SEC006,2024-01-22,382.40,388.90,381.50,385.60,28000000,USD,Bloomberg,2024-01-22 16:00:00
PRC011,SEC006,2024-03-07,399.80,405.20,398.50,402.30,25000000,USD,Bloomberg,2024-03-07 16:00:00
PRC012,SEC007,2024-01-25,155.20,157.40,154.80,156.30,18000000,USD,Bloomberg,2024-01-25 16:00:00
PRC013,SEC008,2024-01-28,177.50,180.20,176.90,178.90,22000000,USD,Bloomberg,2024-01-28 16:00:00
PRC014,SEC008,2024-02-27,183.20,187.40,182.50,185.60,24000000,USD,Bloomberg,2024-02-27 16:00:00
PRC015,SEC009,2024-01-30,515.30,523.80,514.20,520.75,8500000,USD,Bloomberg,2024-01-30 16:00:00
PRC016,SEC010,2024-02-01,101.20,103.50,100.80,102.40,45000000,USD,Bloomberg,2024-02-01 16:00:00
PRC017,SEC011,2024-02-22,98.25,98.75,98.10,98.50,0,USD,Bloomberg,2024-02-22 16:00:00
PRC018,SEC012,2024-02-26,99.00,99.40,98.90,99.20,0,USD,Bloomberg,2024-02-26 16:00:00
PRC019,SEC013,2024-01-15,101.20,101.50,101.00,101.30,0,USD,Bloomberg,2024-01-15 16:00:00
PRC020,SEC014,2024-03-12,6.75,6.92,6.68,6.85,15000000,GBP,LSE,2024-03-12 16:30:00
PRC021,SEC015,2024-03-19,12.20,12.65,12.15,12.45,8000000,EUR,XETRA,2024-03-19 17:30:00
PRC022,SEC001,2024-03-20,183.50,186.20,182.80,185.40,120000000,USD,Bloomberg,2024-03-20 16:00:00
PRC023,SEC002,2024-03-20,398.20,402.50,396.80,400.30,40000000,USD,Bloomberg,2024-03-20 16:00:00
PRC024,SEC003,2024-03-20,150.30,152.80,149.50,151.20,36000000,USD,Bloomberg,2024-03-20 16:00:00
PRC025,SEC004,2024-03-20,162.50,165.30,161.80,164.20,80000000,USD,Bloomberg,2024-03-20 16:00:00
PRC026,SEC005,2024-03-20,252.80,258.40,251.20,256.90,110000000,USD,Bloomberg,2024-03-20 16:00:00
PRC027,SEC006,2024-03-20,410.50,416.80,408.20,414.60,30000000,USD,Bloomberg,2024-03-20 16:00:00
PRC028,SEC007,2024-03-20,160.20,162.50,159.80,161.40,20000000,USD,Bloomberg,2024-03-20 16:00:00
PRC029,SEC008,2024-03-20,190.30,194.20,189.50,192.80,26000000,USD,Bloomberg,2024-03-20 16:00:00
PRC030,SEC009,2024-03-20,535.40,542.80,533.20,540.30,9000000,USD,Bloomberg,2024-03-20 16:00:00
PRC031,SEC010,2024-03-20,105.60,107.20,104.80,106.50,48000000,USD,Bloomberg,2024-03-20 16:00:00
PRC032,SEC011,2024-03-20,97.80,98.20,97.60,98.00,0,USD,Bloomberg,2024-03-20 16:00:00
PRC033,SEC012,2024-03-20,98.50,98.90,98.30,98.70,0,USD,Bloomberg,2024-03-20 16:00:00
PRC034,SEC014,2024-03-20,7.05,7.18,6.98,7.10,16000000,GBP,LSE,2024-03-20 16:30:00
PRC035,SEC015,2024-03-20,12.80,13.05,12.65,12.95,9000000,EUR,XETRA,2024-03-20 17:30:00